collected_at,chart_type,rank,name,app_id,price,rank_change,rank_change_direction,extra_value,current_players,peak_players,last_week_rank,source_url
2026-09-11T08:16:52.610622+00:00,top_selling,1,PUBG: BATTLEGROUNDS,578080,免费开玩,▲ 4,up,494,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,2,WARDOGS,1867240,$39.99,▲ 33,up,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,3,Apex Legends™,1172470,免费开玩,▼ 1,down,304,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,4,《NBA 2K27》,4356430,$69.99,▼ 1,down,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,5,Counter-Strike 2,730,免费开玩,▲ 3,up,735,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,6,渔力全开,4001890,$7.99,▼ 5,down,3,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,7,三角洲行动,2507950,免费开玩,▲ 12,up,92,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,8,鬼武者 Way of the Sword,2638890,$69.99,▲ 2,up,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,9,Grand Theft Auto V 增强版,3240220,-50%$29.99$14.99,▲ 4,up,59,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,10,影之刃零,4115450,$59.99,▼ 4,down,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,11,东方红魔乡：新典 ～ the Embodiment of Scarlet Devil.,4659620,$17.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,12,幻世录 重制版,4030150,-10%$24.99$22.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,13,朋友，梭哈吧,3892270,-38%$7.99$4.95,▲ 9,up,3,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,14,Warframe 星际战甲,230410,免费开玩,▲ 6,up,532,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,15,World of Warships,552990,免费开玩,▲ 58,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,16,Wallpaper Engine：壁纸引擎,431960,$4.99,▼ 1,down,509,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,17,《暗黑破坏神® IV》,2344520,-75%$49.99$12.49,▲ 80,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,18,三国志14,872410,$59.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,19,Dota 2,570,免费开玩,▼ 8,down,24,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,20,战地风云™ 6,2807960,-50%$69.99$34.99,▲ 20,up,58,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,21,"Warhammer 40,000: 星际战士2",2183900,-75%$59.99$14.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,22,No Man's Sky 无人深空,275850,-60%$59.99$23.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,23,Resident Evil 4,2050650,-75%$39.99$9.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,24,Bodycam,2406770,$33.32,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,25,Resident Evil Requiem,3764200,-30%$69.99$48.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,26,猎杀：对决 1896,594650,-60%$29.99$11.99,▲ 53,up,3,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,27,极限竞速：地平线 6,2483190,$69.99,▼ 20,down,33,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,28,Ready or Not,1144200,-50%$49.99$24.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,29,三国志14 威力加强传承版（在您的地区不可用）,4508240,,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-11T08:16:52.610622+00:00,top_selling,30,席德·梅尔的文明VII,1295660,-50%$69.99$34.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
